method,k,elapsed_time_s,reconstruction_error,energy_captured,peak_memory_mib
Randomized SVD,50,2.404245138168335,885537.5,1.0,1245.7109375
Truncated SVD,50,3.7006990909576416,885470.875,1.089474320411682,2253.015625
Randomized SVD,200,5.772809267044067,394578.4375,1.0,1299.57421875
Truncated SVD,200,6.1477460861206055,394378.375,1.089474320411682,2291.1953125
Economy SVD,200,1181.658658742905,393924.625,1.0,17729.109375
